Id,Name and Surname,Beginning year,Played until,Birthday,html
1406,Jerry Fleishman,1947,1953,"February 14, 1922",/players/f/fleisje01.html
1407,Al Fleming,1978,1978,"April 5, 1954",/players/f/flemial01.html
1408,Ed Fleming,1956,1960,"July 25, 1933",/players/f/flemied01.html
1409,Vern Fleming,1985,1996,"February 4, 1962",/players/f/flemive01.html
1410,Luis Flores,2005,2005,"April 11, 1981",/players/f/florelu01.html
1411,Bruce Flowers,1983,1983,"June 13, 1957",/players/f/flowebr01.html
1412,Sleepy Floyd,1983,1995,"March 6, 1960",/players/f/floydsl01.html
1413,Jonny Flynn,2010,2012,"February 6, 1989",/players/f/flynnjo01.html
1414,Malachi Flynn,2021,2023,"May 10, 1998",/players/f/flynnma01.html
1415,Mike Flynn,1976,1978,"July 31, 1953",/players/f/flynnmi01.html
1416,Larry Fogle,1976,1976,"March 19, 1953",/players/f/foglela01.html
1417,Jack Foley,1963,1963,"April 19, 1939",/players/f/foleyja01.html
1418,Isaac Fontaine,2002,2002,"April 16, 1975",/players/f/fontais01.html
1419,Levi Fontaine,1971,1971,"November 1, 1948",/players/f/fontale01.html
1420,Simone Fontecchio,2023,2023,"December 9, 1995",/players/f/fontesi01.html
1421,Jeff Foote,2012,2012,"July 14, 1987",/players/f/footeje01.html
1422,Bryn Forbes,2017,2023,"July 23, 1993",/players/f/forbebr01.html
1423,Gary Forbes,2011,2012,"February 25, 1985",/players/f/forbega01.html
1424,Aleem Ford,2022,2022,"December 22, 1997",/players/f/fordal03.html
1425,Alphonso Ford,1994,1995,"October 31, 1971",/players/f/fordal01.html
1426,Alton Ford,2002,2004,"May 29, 1981",/players/f/fordal02.html
1427,Bob Ford,1973,1973,"January 26, 1950",/players/f/fordbo01.html
1428,Chris Ford,1973,1982,"January 11, 1949",/players/f/fordch01.html
1429,Don Ford,1976,1982,"December 31, 1952",/players/f/forddo01.html
1430,Jake Ford,1971,1972,"April 29, 1945",/players/f/fordja01.html
1431,Phil Ford,1979,1985,"February 9, 1956",/players/f/fordph01.html
1432,Sharrod Ford,2006,2006,"January 9, 1982",/players/f/fordsh02.html
1433,Sherell Ford,1996,1996,"August 26, 1972",/players/f/fordsh01.html
1434,T.J. Ford,2004,2012,"March 24, 1983",/players/f/fordtj01.html
1435,Donnie Forman,1949,1949,"January 17, 1926",/players/f/formado01.html
1436,Bayard Forrest,1978,1979,"July 8, 1954",/players/f/forreba01.html
1437,Trent Forrest,2021,2023,"June 12, 1998",/players/f/forretr01.html
1438,Joseph Forte,2002,2003,"March 23, 1981",/players/f/fortejo01.html
1439,Courtney Fortson,2012,2012,"May 23, 1988",/players/f/fortsco01.html
1440,Danny Fortson,1998,2007,"March 27, 1976",/players/f/fortsda01.html
1441,Fred Foster,1969,1977,"March 18, 1946",/players/f/fostefr01.html
1442,Greg Foster,1991,2003,"October 3, 1968",/players/f/fostegr01.html
1443,Jeff Foster,2000,2012,"January 16, 1977",/players/f/fosteje01.html
1444,Jimmy Foster,1975,1976,"December 16, 1951",/players/f/fosteja01.html
1445,Michael Foster Jr.,2023,2023,"January 16, 2003",/players/f/fostemi02.html
1446,Rod Foster,1984,1986,"October 10, 1960",/players/f/fostero01.html
1447,Antonis Fotsis,2002,2002,"April 1, 1981",/players/f/fotsian01.html
1448,Evan Fournier,2013,2023,"October 29, 1992",/players/f/fournev01.html
1449,Larry Foust,1951,1962,"June 24, 1928",/players/f/foustla01.html
1450,Calvin Fowler,1970,1970,"February 11, 1940",/players/f/fowleca01.html
1451,Jerry Fowler,1952,1952,"June 20, 1927",/players/f/fowleje01.html
1452,Tremaine Fowlkes,2002,2005,"April 11, 1976",/players/f/fowlktr01.html
1453,De'Aaron Fox,2018,2023,"December 20, 1997",/players/f/foxde01.html
1454,Harold Fox,1973,1973,"August 29, 1949",/players/f/foxha01.html
1455,Jim Fox,1968,1977,"April 7, 1943",/players/f/foxji01.html
1456,Rick Fox,1992,2004,"July 24, 1969",/players/f/foxri01.html
1457,Randy Foye,2007,2017,"September 24, 1983",/players/f/foyera01.html
1458,Adonal Foyle,1998,2009,"March 9, 1975",/players/f/foylead01.html
1459,Richie Frahm,2004,2008,"August 14, 1977",/players/f/frahmri01.html
1460,Steve Francis,2000,2008,"February 21, 1977",/players/f/francst01.html
1461,Tellis Frank,1988,1994,"April 26, 1965",/players/f/frankte01.html
1462,Nat Frankel,1947,1947,"November 3, 1913",/players/f/frankna01.html
1463,Bill Franklin,1973,1976,"October 19, 1949",/players/f/frankwi01.html
1464,Jamaal Franklin,2014,2015,"July 21, 1991",/players/f/frankja01.html
1465,Robert Franks,2021,2021,"December 18, 1996",/players/f/frankro01.html
1466,Ron Franz,1968,1973,"October 20, 1945",/players/f/franzro01.html
1467,Melvin Frazier,2019,2022,"August 30, 1996",/players/f/frazime01.html
1468,Michael Frazier,2020,2020,"March 8, 1994",/players/f/frazimi01.html
1469,Tim Frazier,2015,2022,"November 1, 1990",/players/f/fraziti01.html
1470,Walt Frazier*,1968,1980,"March 29, 1945",/players/f/fraziwa01.html
1471,Will Frazier,1966,1969,"August 24, 1942",/players/f/fraziwi01.html
1472,Anthony Frederick,1989,1992,"December 7, 1964",/players/f/fredean01.html
1473,Jimmer Fredette,2012,2019,"February 25, 1989",/players/f/fredeji01.html
1474,World B. Free,1976,1988,"December 9, 1953",/players/f/freewo01.html
1475,Enes Freedom,2012,2022,"May 20, 1992",/players/k/kanteen01.html
1476,Joel Freeland,2013,2015,"February 7, 1987",/players/f/freeljo01.html
1477,Donnie Freeman,1968,1976,"July 18, 1944",/players/f/freemdo01.html
1478,Gary Freeman,1971,1971,"July 25, 1948",/players/f/freemga01.html
1479,Rod Freeman,1974,1974,"November 5, 1950",/players/f/freemro01.html
1480,Matt Freije,2005,2007,"October 2, 1981",/players/f/freijma01.html
1481,Frido Frey,1947,1947,"October 26, 1921",/players/f/freyfr01.html
1482,Larry Friend,1958,1958,"April 14, 1935",/players/f/frienla01.html
1483,Pat Frink,1969,1969,"February 18, 1945",/players/f/frinkpa01.html
1484,Jim Fritsche,1954,1955,"December 10, 1931",/players/f/fritsji01.html
1485,Channing Frye,2006,2019,"May 17, 1983",/players/f/fryech01.html
1486,Bernie Fryer,1974,1975,"December 25, 1949",/players/f/fryerbe01.html
1487,Frank Fucarino,1947,1947,"July 24, 1920",/players/f/fucarfr01.html
1488,Herm Fuetsch,1948,1948,"July 6, 1918",/players/f/fuetshe01.html
1489,Joe Fulks*,1947,1954,"October 26, 1921",/players/f/fulksjo01.html
1490,Carl Fuller,1971,1972,"January 10, 1946",/players/f/fulleca01.html
1491,Hiram Fuller,2004,2004,"May 15, 1981",/players/f/fullehi01.html
1492,Todd Fuller,1997,2001,"July 25, 1974",/players/f/fulleto02.html
1493,Tony Fuller,1981,1981,"September 4, 1958",/players/f/fulleto01.html
1494,Markelle Fultz,2018,2023,"May 29, 1998",/players/f/fultzma01.html
1495,Lawrence Funderburke,1998,2005,"December 15, 1970",/players/f/fundela01.html
1496,Terry Furlow,1977,1980,"October 18, 1954",/players/f/furlote01.html
1497,Bill Gabor,1950,1955,"May 13, 1922",/players/g/gaborbi01.html
1498,Wenyen Gabriel,2020,2023,"March 26, 1997",/players/g/gabriwe01.html
1499,Dan Gadzuric,2003,2012,"February 2, 1978",/players/g/gadzuda01.html
1500,Daniel Gafford,2020,2023,"October 1, 1998",/players/g/gaffoda01.html
1501,Deng Gai,2006,2006,"March 22, 1982",/players/g/gaide01.html
1502,Elmer Gainer,1948,1950,"November 22, 1918",/players/g/gaineel01.html
1503,Bill Gaines,1969,1969,"March 10, 1946",/players/g/gainebi01.html
1504,Corey Gaines,1989,1995,"June 1, 1965",/players/g/gaineco01.html
1505,Reece Gaines,2004,2006,"January 7, 1981",/players/g/gainere01.html
1506,Smokey Gaines,1968,1968,"February 27, 1940",/players/g/gaineda01.html
1507,Sundiata Gaines,2010,2012,"April 18, 1986",/players/g/gainesu01.html
1508,Mike Gale,1972,1982,"July 18, 1950",/players/g/galemi01.html
1509,Chad Gallagher,1994,1994,"May 30, 1969",/players/g/gallach01.html
1510,Harry Gallatin*,1949,1958,"April 26, 1927",/players/g/gallaha01.html
1511,Gene Gallette,1947,1947,"February 22, 1919",/players/g/gillege01.html
1512,Danilo Gallinari,2009,2022,"August 8, 1988",/players/g/gallida01.html
1513,Langston Galloway,2015,2022,"December 9, 1991",/players/g/gallola01.html
1514,Dave Gambee,1959,1970,"April 16, 1937",/players/g/gambeda01.html
1515,Kevin Gamble,1988,1997,"November 13, 1965",/players/g/gamblke01.html
1516,Bob Gantt,1947,1947,"June 22, 1922",/players/g/ganttbo01.html
1517,Jorge Garbajosa,2007,2008,"December 19, 1977",/players/g/garbajo01.html
1518,Rubén Garcés,2001,2001,"October 17, 1973",/players/g/garceru01.html
1519,Alex Garcia,2004,2005,"March 4, 1980",/players/g/garcial01.html
1520,Francisco García,2006,2015,"December 31, 1981",/players/g/garcifr01.html
1521,Chuck Gardner,1968,1968,"September 30, 1944",/players/g/gardnch01.html
1522,Earl Gardner,1949,1949,"September 18, 1923",/players/g/gardnea01.html
1523,Ken Gardner,1976,1976,"September 27, 1949",/players/g/gardnke01.html
1524,Thomas Gardner,2008,2009,"February 8, 1985",/players/g/gardnth01.html
1525,Vern Gardner,1950,1952,"May 14, 1925",/players/g/gardnve01.html
1526,Jack Garfinkel,1947,1949,"June 13, 1918",/players/g/garfija01.html
1527,Patricio Garino,2017,2017,"May 17, 1993",/players/g/garinpa01.html
1528,Darius Garland,2020,2023,"January 26, 2000",/players/g/garlada01.html
1529,Gary Garland,1980,1980,"October 12, 1957",/players/g/garlaga01.html
1530,Winston Garland,1988,1995,"December 19, 1964",/players/g/garlawi01.html
1531,Dick Garmaker,1956,1961,"October 29, 1932",/players/g/garmadi01.html
1532,Bill Garner,1968,1968,"June 17, 1940",/players/g/garnebi01.html
1533,Chris Garner,1998,2001,"February 2, 1975",/players/g/garnech01.html
1534,Bill Garnett,1983,1986,"April 22, 1960",/players/g/garnebi02.html
1535,Kevin Garnett*,1996,2016,"May 19, 1976",/players/g/garneke01.html
1536,Marlon Garnett,1999,1999,"July 3, 1975",/players/g/garnema01.html
1537,Billy Garrett,2019,2019,"October 16, 1994",/players/g/garrebi01.html
1538,Calvin Garrett,1981,1984,"July 11, 1956",/players/g/garreca01.html
1539,Dean Garrett,1997,2002,"November 27, 1966",/players/g/garrede01.html
1540,Diante Garrett,2013,2014,"November 3, 1988",/players/g/garredi02.html
1541,Dick Garrett,1970,1974,"January 31, 1947",/players/g/garredi01.html
1542,Marcus Garrett,2022,2022,"November 9, 1998",/players/g/garrema01.html
1543,Rowland Garrett,1973,1977,"July 16, 1950",/players/g/garrero01.html
1544,Tom Garrick,1989,1992,"July 7, 1966",/players/g/garrito01.html
1545,John Garris,1984,1984,"June 6, 1959",/players/g/garrijo01.html
1546,Kiwane Lemorris Garris,1998,2000,"September 24, 1974",/players/g/garriki01.html
1547,Pat Garrity,1999,2008,"August 23, 1976",/players/g/garripa01.html
1548,Usman Garuba,2022,2023,"March 9, 2002",/players/g/garubus01.html
1549,Jim Garvin,1974,1974,"February 5, 1950",/players/g/garviji01.html
1550,Luka Garza,2022,2023,"December 27, 1998",/players/g/garzalu01.html
1551,Marc Gasol,2009,2021,"January 29, 1985",/players/g/gasolma01.html
1552,Pau Gasol,2002,2019,"July 6, 1980",/players/g/gasolpa01.html
1553,Frank Gates,1950,1950,"April 12, 1920",/players/g/gatesfr01.html
1554,Chris Gatling,1992,2002,"September 3, 1967",/players/g/gatlich01.html
1555,Kenny Gattison,1987,1996,"May 23, 1964",/players/g/gattike01.html
1556,Rudy Gay,2007,2023,"August 17, 1986",/players/g/gayru01.html
1557,Ed Gayda,1951,1951,"May 16, 1927",/players/g/gaydaed01.html
1558,Andrew Gaze,1994,1999,"July 24, 1965",/players/g/gazean01.html
1559,Michael Gbinije,2017,2017,"June 5, 1992",/players/g/gbinimi01.html
1560,Reggie Geary,1997,1998,"August 31, 1973",/players/g/gearyre01.html
1561,Alonzo Gee,2010,2017,"May 29, 1987",/players/g/geeal01.html
1562,Matt Geiger,1993,2002,"September 10, 1969",/players/g/geigema01.html
1563,Mickaël Gelabale,2007,2013,"May 22, 1983",/players/g/gelabmi01.html
1564,Devean George,2000,2010,"August 29, 1977",/players/g/georgde01.html
1565,Jack George,1954,1961,"November 13, 1928",/players/g/georgja01.html
1566,Paul George,2011,2023,"May 2, 1990",/players/g/georgpa01.html
1567,Tate George,1991,1995,"May 29, 1968",/players/g/georgta01.html
1568,Marcus Georges-Hunt,2017,2018,"March 28, 1994",/players/g/georgma01.html
1569,Gus Gerard,1975,1981,"July 27, 1953",/players/g/gerargu01.html
1570,Derrick Gervin,1990,1991,"March 28, 1963",/players/g/gervide01.html
1571,George Gervin*,1973,1986,"April 27, 1952",/players/g/gervige01.html
1572,Gorham Getchell,1947,1947,"August 14, 1920",/players/g/getchgo01.html
1573,John Gianelli,1973,1980,"June 10, 1950",/players/g/gianejo01.html
1574,Dick Gibbs,1972,1976,"December 20, 1948",/players/g/gibbsdi01.html
1575,Daniel Gibson,2007,2013,"February 27, 1986",/players/g/gibsoda01.html
1576,Dee Gibson,1950,1950,"August 25, 1923",/players/g/gibsode01.html
1577,Hoot Gibson,1950,1950,"December 5, 1921",/players/g/gibsoho01.html
1578,Jonathan Gibson,2017,2018,"November 8, 1987",/players/g/gibsojo01.html
1579,Mel Gibson,1964,1964,"December 30, 1940",/players/g/gibsome01.html
1580,Mike Gibson,1984,1986,"October 27, 1960",/players/g/gibsomi01.html
1581,Taj Gibson,2010,2023,"June 24, 1985",/players/g/gibsota01.html
1582,J.R. Giddens,2009,2010,"February 13, 1985",/players/g/giddejr01.html
1583,Josh Giddey,2022,2023,"October 10, 2002",/players/g/giddejo01.html
1584,Trey Gilder,2010,2010,"January 24, 1985",/players/g/gildetr01.html
1585,Harry Giles,2019,2021,"April 22, 1998",/players/g/gilesha01.html
1586,Shai Gilgeous-Alexander,2019,2023,"July 12, 1998",/players/g/gilgesh01.html
1587,Anthony Gill,2021,2023,"October 17, 1992",/players/g/gillan01.html
1588,Eddie Gill,2001,2009,"August 16, 1978",/players/g/gilled01.html
1589,Kendall Gill,1991,2005,"May 25, 1968",/players/g/gillke01.html
1590,Ben Gillery,1989,1989,"September 19, 1965",/players/g/gillebe01.html
1591,Freddie Gillespie,2021,2022,"June 14, 1997",/players/g/gillefr01.html
1592,Jack Gillespie,1970,1970,"October 1, 1947",/players/g/gilleja01.html
1593,Armen Gilliam,1988,2000,"May 28, 1964",/players/g/gilliar01.html
1594,Herm Gilliam,1970,1977,"May 5, 1946",/players/g/gillihe01.html
1595,Artis Gilmore*,1972,1988,"September 21, 1949",/players/g/gilmoar01.html
1596,Walt Gilmore,1971,1971,"February 27, 1947",/players/g/gilmowa01.html
1597,Chuck Gilmur,1947,1951,"August 13, 1922",/players/g/gilmuch01.html
1598,Jacob Gilyard,2023,2023,"July 14, 1998",/players/g/gilyaja01.html
1599,Manu Ginóbili*,2003,2018,"July 28, 1977",/players/g/ginobma01.html
1600,Gordan Giriček,2003,2008,"June 20, 1977",/players/g/giricgo01.html
1601,Jack Givens,1979,1980,"September 21, 1956",/players/g/givenja01.html
1602,Mickell Gladness,2012,2012,"July 26, 1986",/players/g/gladnmi01.html
1603,George Glamack,1949,1949,"June 7, 1918",/players/g/glamage01.html
1604,Gerald Glass,1991,1996,"November 12, 1967",/players/g/glassge01.html
1605,Mike Glenn,1978,1987,"September 10, 1955",/players/g/glennmi01.html
1606,Normie Glick,1950,1950,"November 10, 1927",/players/g/glickno01.html
1607,Georgi Glouchkov,1986,1986,"January 10, 1960",/players/g/gloucge01.html
1608,Clarence Glover,1972,1972,"November 1, 1947",/players/g/glovecl01.html
1609,Dion Glover,2000,2005,"October 22, 1978",/players/g/glovedi01.html
1610,Andreas Glyniadakis,2007,2007,"August 21, 1981",/players/g/glynian01.html
1611,Mike Gminski,1981,1994,"August 3, 1959",/players/g/gminsmi01.html
1612,Rudy Gobert,2014,2023,"June 26, 1992",/players/g/goberru01.html
1613,Dan Godfread,1991,1992,"June 14, 1967",/players/g/godfrda01.html
1614,Tom Gola*,1956,1966,"January 13, 1933",/players/g/golato01.html
1615,Ben Goldfaden,1947,1947,"September 6, 1913",/players/g/goldfbe01.html
1616,Anthony Goldwire,1996,2006,"September 6, 1971",/players/g/goldwan01.html
1617,Ryan Gomes,2006,2014,"September 1, 1982",/players/g/gomesry01.html
1618,Glen Gondrezick,1978,1983,"August 30, 1955",/players/g/gondrgl01.html
1619,Grant Gondrezick,1987,1989,"January 19, 1963",/players/g/gondrgr01.html
1620,Drew Gooden,2003,2016,"September 24, 1981",/players/g/goodedr01.html
1621,Gail Goodrich*,1966,1979,"April 23, 1943",/players/g/goodrga01.html
1622,Steve Goodrich,2001,2002,"March 18, 1976",/players/g/goodrst01.html
1623,Archie Goodwin,2014,2017,"August 17, 1994",/players/g/goodwar01.html
1624,Brandon Goodwin,2019,2022,"October 2, 1995",/players/g/goodwbr01.html
1625,Jordan Goodwin,2022,2023,"October 23, 1998",/players/g/goodwjo01.html
1626,Pop Goodwin,1947,1948,"December 22, 1920",/players/g/goodwpo01.html
1627,Aaron Gordon,2015,2023,"September 16, 1995",/players/g/gordoaa01.html
1628,Ben Gordon,2005,2015,"April 4, 1983",/players/g/gordobe01.html
1629,Drew Gordon,2015,2015,"July 12, 1990",/players/g/gordodr01.html
1630,Eric Gordon,2009,2023,"December 25, 1988",/players/g/gordoer01.html
1631,Lancaster Gordon,1985,1988,"June 24, 1962",/players/g/gordola01.html
1632,Paul Gordon,1950,1950,"April 8, 1927",/players/g/gordopa01.html
1633,Marcin Gortat,2008,2019,"February 17, 1984",/players/g/gortama01.html
1634,Leo Gottlieb,1947,1948,"November 28, 1920",/players/g/gottlle01.html
1635,Andrew Goudelock,2012,2016,"December 7, 1988",/players/g/goudean01.html
1636,Gerald Govan,1968,1976,"January 2, 1942",/players/g/govange01.html
1637,Bato Govedarica,1954,1954,"April 17, 1928",/players/g/govedba01.html
1638,Joe Graboski,1949,1962,"January 15, 1930",/players/g/grabojo01.html
1639,Ricky Grace,1994,1994,"August 20, 1967",/players/g/graceri01.html
1640,Calvin Graham,1968,1968,"June 7, 1944",/players/g/grahaca01.html
1641,Devonte' Graham,2019,2023,"February 22, 1995",/players/g/grahade01.html
1642,Greg Graham,1994,1998,"November 26, 1970",/players/g/grahagr01.html
1643,Joey Graham,2006,2011,"June 11, 1982",/players/g/grahajo01.html
1644,Mal Graham,1968,1969,"February 23, 1945",/players/g/grahama01.html
1645,Orlando Graham,1989,1989,"May 5, 1965",/players/g/grahaor01.html
1646,Paul Graham,1992,1994,"November 28, 1967",/players/g/grahapa01.html
1647,Stephen Graham,2006,2011,"June 11, 1982",/players/g/grahast01.html
1648,Treveon Graham,2017,2020,"October 28, 1993",/players/g/grahatr01.html
1649,Jim Grandholm,1991,1991,"October 4, 1960",/players/g/grandji01.html
1650,Ron Grandison,1989,1996,"July 9, 1964",/players/g/grandro01.html
1651,Danny Granger,2006,2015,"April 20, 1983",/players/g/grangda01.html
1652,Stewart Granger,1984,1987,"October 27, 1961",/players/g/grangst01.html
1653,Brian Grant,1995,2006,"March 5, 1972",/players/g/grantbr01.html
1654,Bud Grant,1950,1951,"May 20, 1927",/players/g/grantbu01.html
1655,Gary Grant,1989,2001,"April 21, 1965",/players/g/grantga01.html
1656,Greg Grant,1990,1996,"August 29, 1966",/players/g/grantgr01.html
1657,Harvey Grant,1989,1999,"July 4, 1965",/players/g/grantha01.html
1658,Horace Grant,1988,2004,"July 4, 1965",/players/g/grantho01.html
1659,Jerami Grant,2015,2023,"March 12, 1994",/players/g/grantje01.html
1660,Jerian Grant,2016,2020,"October 9, 1992",/players/g/grantje02.html
1661,Josh Grant,1994,1994,"August 7, 1967",/players/g/grantjo01.html
1662,Paul Grant,1999,2004,"January 6, 1974",/players/g/grantpa01.html
1663,Travis Grant,1973,1976,"January 1, 1950",/players/g/granttr01.html
1664,Donte Grantham,2019,2019,"March 19, 1995",/players/g/grantdo01.html
1665,Don Grate,1950,1950,"August 27, 1923",/players/g/gratedo01.html
1666,Butch Graves,1985,1985,"January 5, 1962",/players/g/gravebu01.html
1667,Hassani Gravett,2022,2022,"July 16, 1996",/players/g/graveha01.html
1668,Aaron Gray,2008,2014,"December 7, 1984",/players/g/grayaa01.html
1669,Devin Gray,1997,2000,"May 31, 1972",/players/g/grayde01.html
1670,Ed Gray,1998,1999,"September 27, 1975",/players/g/grayed01.html
1671,Evric Gray,1997,1997,"December 13, 1969",/players/g/grayev01.html
1672,Gary Gray,1968,1968,"February 23, 1945",/players/g/grayga01.html
1673,Josh Gray,2018,2020,"September 9, 1993",/players/g/grayjo01.html
1674,Leonard Gray,1975,1977,"December 19, 1951",/players/g/grayle01.html
1675,RaiQuan Gray,2023,2023,"July 7, 1999",/players/g/grayra01.html
1676,Stuart Gray,1985,1991,"May 27, 1963",/players/g/grayst01.html
1677,Sylvester Gray,1989,1989,"July 8, 1967",/players/g/graysy01.html
1678,Wyndol Gray,1947,1948,"March 20, 1922",/players/g/graywy01.html
1679,Jeff Grayer,1989,1998,"December 17, 1965",/players/g/grayeje01.html
1680,Bob Greacen,1970,1972,"September 15, 1947",/players/g/greacbo01.html
1681,A.C. Green,1986,2001,"October 4, 1963",/players/g/greenac01.html
1682,A.J. Green,2023,2023,"September 27, 1999",/players/g/greenaj01.html
1683,Danny Green,2010,2023,"June 22, 1987",/players/g/greenda02.html
1684,Devin Green,2006,2006,"October 25, 1982",/players/g/greende01.html
1685,Draymond Green,2013,2023,"March 4, 1990",/players/g/greendr01.html
1686,Erick Green,2015,2016,"May 9, 1991",/players/g/greener01.html
1687,Gerald Green,2006,2019,"January 26, 1986",/players/g/greenge01.html
1688,Jalen Green,2022,2023,"February 9, 2002",/players/g/greenja05.html
1689,JaMychal Green,2015,2023,"June 21, 1990",/players/g/greenja01.html
1690,Javonte Green,2020,2023,"July 23, 1993",/players/g/greenja02.html
1691,Jeff Green,2008,2023,"August 28, 1986",/players/g/greenje02.html
1692,Johnny Green,1960,1973,"December 8, 1933",/players/g/greenjo01.html
1693,Josh Green,2021,2023,"November 16, 2000",/players/g/greenjo02.html
1694,Ken Green,1986,1986,"September 19, 1959",/players/g/greenke01.html
1695,Kenny Green,1986,1987,"October 11, 1964",/players/g/greenke02.html
1696,Lamar Green,1970,1975,"March 22, 1947",/players/g/greenla01.html
1697,Litterial Green,1993,1999,"March 7, 1970",/players/g/greenli01.html
1698,Luther Green,1970,1973,"November 13, 1946",/players/g/greenlu01.html
1699,Mike Green,1974,1980,"August 6, 1951",/players/g/greenmi01.html
1700,Rickey Green,1978,1992,"August 18, 1954",/players/g/greenri01.html
1701,Sean Green,1992,1994,"February 2, 1970",/players/g/greense01.html
1702,Si Green,1957,1966,"August 20, 1933",/players/g/greensi01.html
1703,Sidney Green,1984,1993,"January 4, 1961",/players/g/greensi02.html
1704,Steve Green,1976,1979,"October 4, 1953",/players/g/greenst01.html
1705,Taurean Green,2008,2008,"November 28, 1986",/players/g/greenta01.html
1706,Tommie Green,1979,1979,"April 8, 1956",/players/g/greento01.html
1707,Willie Green,2004,2015,"July 28, 1981",/players/g/greenwi01.html
1708,Donté Greene,2009,2012,"February 21, 1988",/players/g/greendo01.html
1709,Orien Greene,2006,2011,"February 4, 1982",/players/g/greenor01.html
1710,Jerry Greenspan,1964,1965,"November 22, 1941",/players/g/greenje01.html
1711,Dave Greenwood,1980,1991,"May 27, 1957",/players/g/greenda01.html
1712,Hal Greer*,1959,1973,"June 26, 1936",/players/g/greerha01.html
1713,Lynn Greer,2007,2007,"October 23, 1979",/players/g/greerly01.html
1714,Gary Gregor,1969,1974,"August 13, 1945",/players/g/gregoga01.html
1715,Claude Gregory,1986,1988,"December 26, 1958",/players/g/gregocl01.html
1716,John Greig,1983,1983,"April 28, 1961",/players/g/greigjo01.html
1717,Norm Grekin,1954,1954,"June 22, 1930",/players/g/grekino01.html
1718,Kevin Grevey,1976,1985,"May 12, 1953",/players/g/greveke01.html
1719,Dennis Grey,1969,1970,"August 26, 1947",/players/g/greyde01.html
1720,Adrian Griffin,2000,2008,"July 4, 1974",/players/g/griffad01.html
1721,AJ Griffin,2023,2023,"August 25, 2003",/players/g/griffaj01.html
1722,Blake Griffin,2011,2023,"March 16, 1989",/players/g/griffbl01.html
1723,Eddie Griffin,2002,2007,"May 30, 1982",/players/g/griffed01.html
1724,Greg Griffin,1978,1978,"September 6, 1952",/players/g/griffgr01.html
1725,Paul Griffin,1977,1983,"January 20, 1954",/players/g/griffpa01.html
1726,Taylor Griffin,2010,2010,"April 18, 1986",/players/g/griffta01.html
1727,Darrell Griffith,1981,1991,"June 16, 1958",/players/g/griffda01.html
1728,Chuck Grigsby,1955,1955,"August 15, 1928",/players/g/grigsch01.html
1729,Quentin Grimes,2022,2023,"May 8, 2000",/players/g/grimequ01.html
1730,Derek Grimm,1998,1998,"August 3, 1974",/players/g/grimmde01.html
1731,Woody Grimshaw,1947,1947,"September 24, 1919",/players/g/grimswo01.html
1732,Dick Groat,1953,1953,"November 4, 1930",/players/g/groatdi01.html
1733,Bob Gross,1976,1983,"August 3, 1953",/players/g/grossbo01.html
1734,Mike Grosso,1972,1972,"September 7, 1947",/players/g/grossmi01.html
1735,Jerry Grote,1965,1965,"December 28, 1940",/players/g/groteje01.html
1736,Alex Groza,1950,1951,"October 7, 1926",/players/g/grozaal01.html
1737,Dick Grubar,1970,1970,"July 26, 1947",/players/g/grubadi01.html
1738,Anthony Grundy,2006,2006,"April 15, 1979",/players/g/grundan01.html
1739,Ernie Grunfeld,1978,1986,"April 24, 1955",/players/g/grunfer01.html
1740,Gene Guarilia,1960,1963,"September 13, 1937",/players/g/guarige01.html
1741,Pétur Guðmundsson,1982,1989,"October 30, 1958",/players/g/gudmupe01.html
1742,Marko Guduric,2020,2020,"March 8, 1995",/players/g/gudurma01.html
1743,Richie Guerin*,1957,1970,"May 29, 1932",/players/g/gueriri01.html
1744,Tom Gugliotta,1993,2005,"December 19, 1969",/players/g/guglito01.html
1745,Andrés Guibert,1994,1995,"October 28, 1968",/players/g/guibean01.html
1746,Jay Guidinger,1993,1994,"August 18, 1969",/players/g/guidija01.html
1747,Coulby Gunther,1947,1949,"February 5, 1923",/players/g/gunthco01.html
1748,Dave Gunther,1963,1963,"July 22, 1937",/players/g/gunthda01.html
1749,Al Guokas,1950,1950,"August 7, 1925",/players/g/guokaal01.html
1750,Matt Guokas,1947,1947,"November 11, 1915",/players/g/guokama01.html
1751,Matt Guokas,1967,1976,"February 25, 1944",/players/g/guokama02.html
1752,Jorge Gutiérrez,2014,2016,"December 27, 1988",/players/g/gutiejo01.html
1753,Kyle Guy,2020,2022,"August 11, 1997",/players/g/guyky01.html
1754,A.J. Guyton,2001,2003,"February 12, 1978",/players/g/guytoaj01.html
1755,Rui Hachimura,2020,2023,"February 8, 1998",/players/h/hachiru01.html
1756,Rudy Hackett,1976,1977,"May 10, 1953",/players/h/hackeru01.html
1757,Hamed Haddadi,2009,2013,"May 19, 1985",/players/h/haddaha01.html
1758,Jim Hadnot,1968,1968,"January 15, 1940",/players/h/hadnoji01.html
1759,Scott Haffner,1990,1991,"February 2, 1966",/players/h/haffnsc01.html
1760,Cliff Hagan*,1957,1970,"December 9, 1931",/players/h/hagancl01.html
1761,Glenn Hagan,1982,1982,"June 25, 1955",/players/h/hagangl01.html
1762,Tom Hagan,1970,1971,"January 29, 1947",/players/h/haganto01.html
1763,Ashton Hagans,2021,2021,"July 8, 1999",/players/h/haganas01.html
1764,Robert Hahn,1950,1950,"August 25, 1925",/players/h/hahnro01.html
